Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active_Cases,CFR,Recovery_Rate,Vaccination_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_vaccinations,Tests_Performed,Test_Positivity_Rate
Veneto,Italy,45.44,12.33,3/27/2021,1207426,46668,890822,269936,3.87,73.78,59.87,23582729,23432195,51764979,50995475,2.37
Rio de Janeiro,Brazil,-22.91,-43.17,5/24/2021,1925616,63719,1098113,763784,3.31,57.03,203.14,27661509,19914170,49590446,3025620,63.64
São Paulo,Brazil,-23.55,-46.63,1/2/2023,1530989,64941,1139114,326934,4.24,74.4,42.81,21218380,16052860,38663841,53829098,2.84
Jalisco,Mexico,20.67,-103.35,3/1/2023,286842,13203,270987,2652,4.6,94.47,0.81,435547,313600,3467976,79248286,0.36
Guangdong,China,23.38,113.43,5/2/2022,1712894,30334,1020132,662428,1.77,59.56,32.28,18889732,18377539,40884828,19723509,8.68
Rio de Janeiro,Brazil,-22.91,-43.17,3/19/2021,1599492,31357,1205020,363115,1.96,75.34,6.61,3261230,2887599,10638992,50546605,3.16
Hubei,China,30.58,114.27,9/22/2023,4537023,203296,3542753,790974,4.48,78.09,6.57,3413771,3221613,10911144,64867023,6.99
Madrid,Spain,40.42,-3.7,3/21/2023,446914,20713,301083,125118,4.63,67.37,29.43,18796755,10249765,30120854,79251756,0.56
Shanghai,China,31.23,121.47,3/14/2023,4268221,119464,3361010,787747,2.8,78.74,41.3,23980033,14770756,40893212,73671907,5.79
Lazio,Italy,41.89,12.5,4/19/2021,2775672,18041,1503223,1254408,0.65,54.16,168.28,13573071,8777058,24914429,15949774,17.4
Guangdong,China,23.38,113.43,5/11/2021,4719181,211422,3512572,995187,4.48,74.43,27.38,6951934,5187264,15287264,22428371,21.04
Shanghai,China,31.23,121.47,9/1/2023,1790192,38658,1515793,235741,2.16,84.67,32.61,16105448,10221944,28748851,43825821,4.08
Maharashtra,India,19.75,75.71,8/8/2023,1653851,15980,892039,745832,0.97,53.94,31.94,25064071,22785622,47930780,6678990,24.76
Tamil Nadu,India,13.08,80.27,2/3/2022,3052493,107891,2884442,60160,3.53,94.49,52.68,13526788,10867947,28943560,99289006,3.07
Florida,USA,27.99,-81.76,9/16/2023,3683510,66942,3583175,33393,1.82,97.28,17.33,14019686,13245612,31660525,95297036,3.87
Moscow,Russia,55.75,37.62,7/30/2021,3298139,68179,1926511,1303449,2.07,58.41,282.79,17059820,15312158,32646819,1212220,272.07
Madrid,Spain,40.42,-3.7,12/11/2021,2848796,128672,2298640,421484,4.52,80.69,47,9731805,8533317,23242086,61540170,4.63
Madrid,Spain,40.42,-3.7,11/17/2022,1856648,92093,1442787,321768,4.96,77.71,2.36,1789314,1286909,5385077,33766246,5.5
Wales,UK,51.48,-3.18,5/29/2021,1995241,10201,1620344,364696,0.51,81.21,26.12,4219128,3279688,8085443,51145737,3.9
Mexico City,Mexico,19.43,-99.13,1/24/2023,4497000,178909,3325331,992760,3.98,73.95,1.55,1463757,1080794,4505118,61041161,7.37
Lombardy,Italy,45.47,9.19,3/9/2021,3599233,116962,2008645,1473626,3.25,55.81,86.98,25566198,21004197,48951658,3145073,114.44
Texas,USA,31.97,-99.9,10/3/2022,1701812,17185,1674466,10161,1.01,98.39,21.85,9494654,5571627,20045220,94844495,1.79
Catalonia,Spain,41.39,2.17,4/23/2021,3485245,156137,3257458,71650,4.48,93.46,24.4,23293147,22346607,46506170,48418632,7.2
Catalonia,Spain,41.39,2.17,8/7/2021,4148614,153084,2408560,1586970,3.69,58.06,137.22,11757610,6698732,21280104,53657117,7.73
São Paulo,Brazil,-23.55,-46.63,2/16/2023,4156690,121168,3689838,345684,2.92,88.77,43.31,11947461,8874359,24050090,59622265,6.97
Maharashtra,India,19.75,75.71,3/23/2021,2461123,21322,1993466,446335,0.87,81,139.92,29607516,23063719,56081915,81146372,3.03
Saint Petersburg,Russia,59.93,30.33,10/14/2022,4154008,168912,2437431,1547665,4.07,58.68,10.4,10191993,8477910,22524698,46386050,8.96
Quebec,Canada,46.81,-71.21,1/14/2021,3271716,99682,1927578,1244456,3.05,58.92,95.4,27879630,24427714,56764388,44064210,7.42
Jalisco,Mexico,20.67,-103.35,3/27/2021,98775,3428,68865,26482,3.47,69.72,5.4,1784581,1606650,6907114,41740660,0.24
Beijing,China,39.9,116.4,5/29/2021,1521410,60113,1267906,193391,3.95,83.34,5.52,4415548,3064953,10384813,19710984,7.72
Wales,UK,51.48,-3.18,7/28/2021,2386409,78566,1371799,936044,3.29,57.48,32.93,20556040,17612251,38468230,88510136,2.7
Hubei,China,30.58,114.27,2/4/2022,622925,19702,585236,17987,3.16,93.95,31.83,6121821,3078045,10525921,44559682,1.4
Wales,UK,51.48,-3.18,4/11/2021,3816503,12292,2548037,1256174,0.32,66.76,15.22,4670600,3671617,10277025,41021793,9.3
Florida,USA,27.99,-81.76,1/19/2023,4073970,133387,3016170,924413,3.27,74.04,32.18,28214760,26846578,58761027,19333687,21.07
Texas,USA,31.97,-99.9,1/15/2022,3974986,120285,3685092,169609,3.03,92.71,28.4,16707029,14776520,35280529,62566989,6.35
Guangdong,China,23.38,113.43,4/18/2022,1516626,17861,943501,555264,1.18,62.21,52.97,18056970,17085872,39199093,62111366,2.44
Saint Petersburg,Russia,59.93,30.33,6/17/2022,4576891,17876,3055237,1503778,0.39,66.75,153.39,22885141,19673490,46335426,15862935,28.85
Amazonas,Brazil,-3.07,-60.02,9/23/2023,3857122,32296,2382902,1441924,0.84,61.78,41.98,25037755,18093898,44276693,44306855,8.71
Uttar Pradesh,India,26.85,80.91,3/16/2021,3169431,150208,2421032,598191,4.74,76.39,34.24,21813510,18421257,43957425,68970657,4.6
Nuevo León,Mexico,25.67,-100.31,10/20/2021,1322870,55013,909640,358217,4.16,68.76,26.51,11783318,6974424,21631803,70031567,1.89
Ontario,Canada,43.65,-79.38,12/12/2021,2590316,1958,1776423,811935,0.08,68.58,42.02,24668270,20450854,49552069,28152268,9.2
Kerala,India,10.85,76.27,1/22/2023,3297687,149825,2434250,713612,4.54,73.82,17.05,9475452,6838202,18411512,18357184,17.96
California,USA,36.77,-119.42,12/2/2022,4715593,204189,3527920,983484,4.33,74.81,27.84,27512048,27250696,59294251,93528469,5.04
Scotland,UK,55.95,-3.19,5/24/2021,2516724,630,1354844,1161250,0.03,53.83,11.99,1372342,1245877,6032653,93871318,2.68
Delhi,India,28.61,77.21,8/26/2023,4757002,150649,2586317,2020036,3.17,54.37,48.09,27044474,26041408,56195689,27302898,17.42
Maharashtra,India,19.75,75.71,8/17/2022,3677653,155674,3147325,374654,4.23,85.58,85.12,20617976,11426178,34641885,14560840,25.26
Wales,UK,51.48,-3.18,8/10/2023,2623259,44142,1341165,1237952,1.68,51.13,56.4,28772617,23348294,52367843,5782018,45.37
England,UK,51.51,-0.13,2/20/2023,3904099,121118,3259279,523702,3.1,83.48,30,21405011,21217979,47581040,13406912,29.12
Lazio,Italy,41.89,12.5,5/9/2022,159237,6728,93788,58721,4.23,58.9,36.05,7042387,4791979,16632488,30633113,0.52
Delhi,India,28.61,77.21,1/26/2022,3701717,39854,3062646,599217,1.08,82.74,102.07,24275957,14962026,43329843,8691984,42.59
Amazonas,Brazil,-3.07,-60.02,4/15/2023,4477663,14017,4055023,408623,0.31,90.56,312.61,27073652,13848102,45457128,5627460,79.57
Beijing,China,39.9,116.4,8/20/2023,488987,4690,246947,237350,0.96,50.5,11.68,8091408,4231343,16870790,83437111,0.59
Veneto,Italy,45.44,12.33,12/20/2021,3228202,49301,1852499,1326402,1.53,57.38,34.24,23868749,19041203,43741210,41205426,7.83
British Columbia,Canada,49.28,-123.12,12/2/2022,4339551,167228,2804227,1368096,3.85,64.62,26.59,5281824,5225798,14762973,39444066,11
Moscow,Russia,55.75,37.62,4/21/2023,2462724,102691,1879713,480320,4.17,76.33,1.16,677015,522482,2585720,93525274,2.63
Lazio,Italy,41.89,12.5,11/14/2022,4113995,92454,3445719,575822,2.25,83.76,119.35,28588209,28019130,57073358,45356648,9.07
Veneto,Italy,45.44,12.33,5/3/2023,4137083,167060,3481347,488676,4.04,84.15,279.31,23558884,20890847,48554535,4151465,99.65
Madrid,Spain,40.42,-3.7,7/13/2023,2498492,92541,1517951,888000,3.7,60.75,212.11,15569795,10995904,30150993,78874128,3.17
Lazio,Italy,41.89,12.5,4/1/2023,57710,784,45511,11415,1.36,78.86,50.74,7630386,6184348,16895441,89829558,0.06
Texas,USA,31.97,-99.9,11/9/2022,2522512,94094,2061490,366928,3.73,81.72,95.27,17814963,15318339,36189221,44776778,5.63
Delhi,India,28.61,77.21,2/9/2022,3093867,92109,2584481,417277,2.98,83.54,25.66,20580596,12573591,33877219,89763641,3.45
São Paulo,Brazil,-23.55,-46.63,1/3/2023,4087736,164452,2396897,1526387,4.02,58.64,210.79,22650853,19621915,44197918,29538341,13.84
Shanghai,China,31.23,121.47,4/23/2022,85984,4265,60222,21497,4.96,70.04,230.29,26189918,25184035,53945704,69981746,0.12
Maharashtra,India,19.75,75.71,5/24/2023,980779,42955,878577,59247,4.38,89.58,0.68,334050,227737,5524742,50993258,1.92
Florida,USA,27.99,-81.76,8/27/2021,4454232,110745,4049138,294349,2.49,90.91,8.55,6728015,5768902,12958637,5666548,78.61
Kerala,India,10.85,76.27,8/1/2023,3036892,148214,2702723,185955,4.88,89,291.14,24117888,24004932,49878668,39074328,7.77
Northern Ireland,UK,54.6,-5.93,7/8/2023,3205267,117875,1916286,1171106,3.68,59.79,8.26,7740613,5268861,15841759,14547689,22.03
Catalonia,Spain,41.39,2.17,5/23/2022,2715304,119050,1683584,912670,4.38,62,17.17,6948293,5974247,16080024,97323343,2.79
Moscow,Russia,55.75,37.62,11/9/2022,3533772,38534,1790288,1704950,1.09,50.66,30.87,28129033,25967816,58897797,74056538,4.77
California,USA,36.77,-119.42,5/12/2021,4791438,79587,3765912,945939,1.66,78.6,15.78,14553860,13056237,31494793,93528920,5.12
Ontario,Canada,43.65,-79.38,11/23/2021,2144596,39308,1868926,236362,1.83,87.15,7.81,5064486,2886095,10367863,58592879,3.66
Mexico City,Mexico,19.43,-99.13,9/2/2021,1857568,5227,1341840,510501,0.28,72.24,23,14402114,14235432,30812118,45614745,4.07
Lombardy,Italy,45.47,9.19,8/11/2023,4621182,220311,3968378,432493,4.77,85.87,45.98,11343170,7231617,19684186,51009882,9.06
Scotland,UK,55.95,-3.19,3/31/2021,4667769,160365,2697953,1809451,3.44,57.8,30.02,22961573,11741595,36220244,90034972,5.18
Rio de Janeiro,Brazil,-22.91,-43.17,6/11/2023,2285846,76629,2103237,105980,3.35,92.01,26.81,26813534,20200096,47077852,7440278,30.72
Guangdong,China,23.38,113.43,6/4/2022,1624667,15832,909400,699435,0.97,55.97,30.26,29656680,27733893,60129589,46791210,3.47
Mexico City,Mexico,19.43,-99.13,2/26/2022,2521705,72784,1696816,752105,2.89,67.29,23.42,19287357,18738513,41225957,84392858,2.99
Florida,USA,27.99,-81.76,6/12/2023,4639054,29807,2799757,1809490,0.64,60.35,54.53,21724918,20484369,44354566,93961392,4.94
Hubei,China,30.58,114.27,2/16/2023,1344735,29021,804238,511476,2.16,59.81,47.4,11400596,7987717,21622413,54263872,2.48
Lazio,Italy,41.89,12.5,1/11/2021,1685232,74652,1341226,269354,4.43,79.59,33.56,28280325,14875657,46506034,95825217,1.76
Mexico City,Mexico,19.43,-99.13,6/17/2022,4417464,147548,2443599,1826317,3.34,55.32,24.66,17030000,13607723,32522832,2814766,156.94
Shanghai,China,31.23,121.47,1/14/2022,1446863,4421,1089220,353222,0.31,75.28,34.94,28996051,28747696,58925444,16361001,8.84
Shanghai,China,31.23,121.47,7/5/2021,4542474,207637,3604848,729989,4.57,79.36,143.02,24164731,18460628,45331715,95286989,4.77
Kerala,India,10.85,76.27,9/21/2023,4821865,234171,3607108,980586,4.86,74.81,194.06,25771502,19452942,45367650,73349895,6.57
Uttar Pradesh,India,26.85,80.91,2/25/2023,4018156,93744,2523603,1400809,2.33,62.81,20.86,19333905,18986218,38911224,13292163,30.23
Rio de Janeiro,Brazil,-22.91,-43.17,9/5/2022,288145,6475,255283,26387,2.25,88.6,66,26892807,24802934,51851162,13554927,2.13
Catalonia,Spain,41.39,2.17,6/25/2021,2140226,57416,1262461,820349,2.68,58.99,38.37,19947913,16418208,40133792,31957898,6.7
São Paulo,Brazil,-23.55,-46.63,10/29/2022,701982,809,661684,39489,0.12,94.26,30.69,14530080,8830214,24353043,51579092,1.36
Tamil Nadu,India,13.08,80.27,2/16/2021,4588402,22484,4016426,549492,0.49,87.53,6.01,4860143,2767662,10464738,11897712,38.57
British Columbia,Canada,49.28,-123.12,3/14/2022,1678145,5732,1422308,250105,0.34,84.75,40.07,29279751,18916925,53097389,12019972,13.96
California,USA,36.77,-119.42,12/14/2021,4448797,4581,2629767,1814449,0.1,59.11,12.93,4825617,4737618,14468928,90832939,4.9
Florida,USA,27.99,-81.76,2/1/2022,934944,7642,652221,275081,0.82,69.76,13.63,11770913,10671698,27373309,1580124,59.17
Uttar Pradesh,India,26.85,80.91,5/7/2022,4159602,93313,3482500,583789,2.24,83.72,32.73,22748257,15595752,39198431,4242026,98.06
Beijing,China,39.9,116.4,1/29/2023,1433442,22552,1117318,293572,1.57,77.95,49.8,29603962,22994279,52782267,71717223,2
Uttar Pradesh,India,26.85,80.91,1/9/2022,2672532,87838,1759042,825652,3.29,65.82,5.98,4628822,4236801,11434103,26852983,9.95
Lazio,Italy,41.89,12.5,6/30/2021,619241,18709,481383,119149,3.02,77.74,34.88,29152277,20805595,51505315,89400589,0.69
Catalonia,Spain,41.39,2.17,7/1/2022,2694188,6010,2601202,86976,0.22,96.55,10.76,9286661,8288577,21125054,67036025,4.02
New York,USA,40.71,-74.01,8/7/2023,2451913,20560,1510559,920794,0.84,61.61,66.73,9766010,6373902,16406347,37294748,6.57
Hubei,China,30.58,114.27,11/21/2021,4093710,201161,3230536,662013,4.91,78.91,9.58,4959505,2608150,9905114,1539926,265.84
Saint Petersburg,Russia,59.93,30.33,4/24/2021,200953,7008,161328,32617,3.49,80.28,26.9,12696926,8263566,25923180,51870606,0.39
Moscow,Russia,55.75,37.62,5/11/2022,2954690,65587,2778263,110840,2.22,94.03,10.67,6884356,4095192,14174453,68713689,4.3
Florida,USA,27.99,-81.76,12/28/2022,3570000,93970,2411438,1064592,2.63,67.55,5.22,5197487,3918705,9447755,41289113,8.65
Texas,USA,31.97,-99.9,12/21/2022,4413879,189936,4008030,215913,4.3,90.81,23.36,21849644,18323615,42598038,20846532,21.17
Shanghai,China,31.23,121.47,1/20/2021,4029390,9031,3075405,944954,0.22,76.32,26.39,24487465,24153598,52157766,1840619,218.91
Mexico City,Mexico,19.43,-99.13,12/17/2022,2479142,14122,1552648,912372,0.57,62.63,34.71,9810530,5736448,16249425,97141405,2.55
Rio de Janeiro,Brazil,-22.91,-43.17,4/4/2023,1502940,67035,1213290,222615,4.46,80.73,28.38,13696577,9183848,25020183,53284357,2.82
California,USA,36.77,-119.42,5/18/2023,1074090,3443,644451,426196,0.32,60,3.34,3301234,2416585,7817620,49066508,2.19
New York,USA,40.71,-74.01,9/11/2023,1134838,19015,912972,202851,1.68,80.45,56.85,10614348,7080714,18008264,62170596,1.83
Madrid,Spain,40.42,-3.7,2/17/2023,521984,2158,305015,214811,0.41,58.43,100.42,29463912,25295738,59161137,11569769,4.51
Texas,USA,31.97,-99.9,6/29/2021,2386537,76706,1871372,438459,3.21,78.41,26.05,8006213,6839117,17472997,59000831,4.04
Florida,USA,27.99,-81.76,12/22/2022,854063,25899,595065,233099,3.03,69.67,146.49,14289303,12470071,27039158,89686929,0.95
Rio de Janeiro,Brazil,-22.91,-43.17,7/3/2022,2208132,97985,1242691,867456,4.44,56.28,3.84,951894,864539,4208653,28505528,7.75
Florida,USA,27.99,-81.76,1/27/2022,3969650,181443,3253219,534988,4.57,81.95,22.29,14996237,14758753,30370552,22607677,17.56
British Columbia,Canada,49.28,-123.12,7/9/2021,538219,10272,445777,82170,1.91,82.82,46.59,27182777,13624858,45724984,57542869,0.94
São Paulo,Brazil,-23.55,-46.63,11/14/2021,2970029,52077,2880625,37327,1.75,96.99,6.63,5899212,4815147,14043207,28062367,10.58
Lazio,Italy,41.89,12.5,3/30/2021,4844382,194772,2539902,2109708,4.02,52.43,39.93,9897400,5315385,20112497,2779562,174.29
Hubei,China,30.58,114.27,3/16/2022,2469663,69301,1939634,460728,2.81,78.54,40.93,27798319,26370007,55203488,85180925,2.9
Rio de Janeiro,Brazil,-22.91,-43.17,10/16/2021,1049307,5747,1027508,16052,0.55,97.92,77.34,5485172,5011749,12640819,45040053,2.33
Shanghai,China,31.23,121.47,6/14/2022,1047777,18129,895678,133970,1.73,85.48,195.27,24763500,14253988,42573203,69450752,1.51
Lombardy,Italy,45.47,9.19,4/19/2023,3605762,97401,3134013,374348,2.7,86.92,25.43,9525046,9214880,20554627,41305743,8.73
New York,USA,40.71,-74.01,7/14/2021,4774840,23734,3931515,819591,0.5,82.34,7.11,5250340,4310850,13693182,92812061,5.14
Maharashtra,India,19.75,75.71,12/28/2022,907264,19993,870243,17028,2.2,95.92,33.52,16184418,11438622,30247847,82807511,1.1
Florida,USA,27.99,-81.76,12/27/2022,2387131,70951,2122449,193731,2.97,88.91,35.08,25060493,20150589,49580528,86163509,2.77
Lazio,Italy,41.89,12.5,9/21/2022,2249318,106971,1618183,524164,4.76,71.94,54.45,29490293,19562875,53653616,93577900,2.4
Beijing,China,39.9,116.4,5/12/2023,482990,680,372582,109728,0.14,77.14,58.21,10692064,8603180,22969702,84413885,0.57
Lazio,Italy,41.89,12.5,11/4/2021,3191367,90710,2173997,926660,2.84,68.12,27.1,23773908,13075561,38942906,72334149,4.41
California,USA,36.77,-119.42,2/23/2023,1045039,29011,726857,289171,2.78,69.55,12.15,10967523,9873771,24125419,17745177,5.89
England,UK,51.51,-0.13,7/6/2023,2545786,5055,1542289,998442,0.2,60.58,29.08,6330269,3927206,10580534,20813739,12.23
Quebec,Canada,46.81,-71.21,10/19/2021,3105336,89284,2064291,951761,2.88,66.48,54.32,22662844,16138327,40130091,39837266,7.8
California,USA,36.77,-119.42,4/30/2023,752500,25985,589977,136538,3.45,78.4,21.65,21496716,17407554,41655845,13701153,5.49
Madrid,Spain,40.42,-3.7,4/27/2021,2874700,57976,2477317,339407,2.02,86.18,87.04,29740421,26166785,59167067,39794077,7.22
Uttar Pradesh,India,26.85,80.91,8/5/2022,3135218,30864,1901155,1203199,0.98,60.64,33.91,20758859,20535301,42794100,43546232,7.2
New York,USA,40.71,-74.01,8/16/2021,4868009,216010,3389112,1262887,4.44,69.62,34.66,18652043,12421595,32871482,7958916,61.16
Hubei,China,30.58,114.27,6/7/2023,3963135,18281,2565549,1379305,0.46,64.74,30.45,15569291,9909565,28549759,64025913,6.19
Florida,USA,27.99,-81.76,8/5/2023,3347495,131656,2480527,735312,3.93,74.1,16.46,7616574,7055947,15952058,14744890,22.7
Maharashtra,India,19.75,75.71,5/20/2021,4953700,38409,3818457,1096834,0.78,77.08,45.28,14714617,11206622,27360931,29172064,16.98
California,USA,36.77,-119.42,5/3/2021,1663098,10974,1446023,206101,0.66,86.95,27.35,5592589,4779540,11304758,79446465,2.09
Madrid,Spain,40.42,-3.7,4/13/2021,1559784,70971,1376717,112096,4.55,88.26,38.39,19838174,18035815,40481902,1713112,91.05
California,USA,36.77,-119.42,3/29/2021,2768800,87149,1707690,973961,3.15,61.68,10.23,8486447,6023827,16592437,8249672,33.56
Guangdong,China,23.38,113.43,4/30/2022,1072924,36268,574070,462586,3.38,53.51,7.16,2861581,2525617,6569046,91400488,1.17
Jalisco,Mexico,20.67,-103.35,12/3/2022,3656235,82090,2305327,1268818,2.25,63.05,21.44,9869422,6544981,16601443,85413288,4.28
Jalisco,Mexico,20.67,-103.35,11/26/2022,3716741,75216,3069336,572189,2.02,82.58,4.08,2394286,2169032,8586632,63009327,5.9
Lombardy,Italy,45.47,9.19,7/16/2021,4730349,188620,2663640,1878089,3.99,56.31,30.85,26587228,24363970,51091409,37652,12563.34
Rio de Janeiro,Brazil,-22.91,-43.17,5/18/2021,763207,20696,575367,167144,2.71,75.39,60.27,26116636,14445668,41023545,84593888,0.9
New York,USA,40.71,-74.01,5/30/2022,4577997,28601,2430487,2118909,0.62,53.09,34.84,28172327,16898415,48906383,41400377,11.06
Hubei,China,30.58,114.27,8/16/2022,2272026,65736,1650755,555535,2.89,72.66,2.57,587755,519953,4988551,70930582,3.2
Texas,USA,31.97,-99.9,5/11/2023,1937818,45108,1702938,189772,2.33,87.88,38.48,27365330,16537853,48888595,65486435,2.96
Lombardy,Italy,45.47,9.19,4/18/2022,4551167,216240,2871031,1463896,4.75,63.08,33.59,26030777,14166354,41542445,5821098,78.18
Madrid,Spain,40.42,-3.7,10/30/2021,3097248,32850,1854242,1210156,1.06,59.87,25.55,21725261,12711755,37385770,68237919,4.54
Beijing,China,39.9,116.4,10/16/2022,1141912,25898,703932,412082,2.27,61.65,0.36,199477,167591,2024099,90631294,1.26
Shanghai,China,31.23,121.47,3/18/2023,4284012,82420,2924162,1277430,1.92,68.26,30.09,14822428,10010598,28581864,87972313,4.87
São Paulo,Brazil,-23.55,-46.63,3/4/2021,3605880,141231,1870984,1593665,3.92,51.89,13.72,9561900,8804531,21706210,19188085,18.79
Jalisco,Mexico,20.67,-103.35,3/20/2022,4956650,172201,3699393,1085056,3.47,74.63,34.42,16814651,9049340,30688660,96387258,5.14
Ontario,Canada,43.65,-79.38,6/23/2023,4323003,72428,3371374,879201,1.68,77.99,18.56,11990458,8983450,22525502,60829610,7.11
Shanghai,China,31.23,121.47,12/22/2022,2467956,7843,1566423,893690,0.32,63.47,32.27,21890416,20644000,44853595,19174961,12.87
Ontario,Canada,43.65,-79.38,3/18/2022,3133689,75333,2316636,741720,2.4,73.93,77.85,23720878,14692059,41588650,69833376,4.49
